label,nb_events_culture,titres_events_culture,tarif_transport_etudiant,source
Sotteville-lès-Rouen,6,"Vingt ans : Entre rêves et souvenirs, Vingt ans : Entre rêves et souvenirs (6-10 ans), Vingt ans : Entre rêves et souvenirs (11-17 ans), Résidence ""Soudain l'été prochain"" : Lauralie Naumann, Vingt ans : Entre rêves et souvenirs (à partir de 15 ans)",Indisponible,Non renseignée
Stains,1,Rendez-vous du parc Stains,31.2,Imagine R - Île-de-France Mobilités
Strasbourg,4,"Jeunes ESTivants 2024 - Fugue 31 ""Mais ça j'y reviendrai (portrait d'Ysanis)"" & La Pokop, Jeunes ESTivants 2024 - Giuseppina Comito ""Intérieur/s"" & la Trézorerie, JM France - Mes vacances musicales avec Mathias Romang, Jeunes ESTivants 2024 - Jeanne Didot ""Chère Natalie"" & la Grenze",Indisponible,Non renseignée
Sucy-en-Brie,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Suresnes,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Sète,0,Aucun événement recensé,Indisponible,Non renseignée
Sèvremoine,0,Aucun événement recensé,Indisponible,Non renseignée
Sèvres,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Talence,0,Aucun événement recensé,Indisponible,Non renseignée
Tarbes,0,Aucun événement recensé,Indisponible,Non renseignée
Tassin-la-Demi-Lune,4,"Ateliers chant et découverte de l'opéra, Concert piano / voix, Concert Les Noces de Figaro, Répétition ouverte - rencontre",Indisponible,Non renseignée
Taverny,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Thiais,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Thionville,1,"Jeunes ESTivants 2024 - April Tacchini ""Fanzine multi technique"" & le centre Le Lierre",Indisponible,Non renseignée
Thonon-les-Bains,0,Aucun événement recensé,Indisponible,Non renseignée
Torcy,1,Seul.e.s,31.2,Imagine R - Île-de-France Mobilités
Toulon,5,"Vues de points, Vertiges - Magistral.e.s, Ridzcompagnie - Isicathulo, Global Art - Portraits poétiques",Indisponible,Non renseignée
Toulouse,5,"L’Été culturel Des livres à soi, Ateliers d'écriture, L'Été culturel Des livres à soi",Indisponible,Non renseignée
Tourcoing,1,Projection plein air - L’été animé des enfants,Indisponible,Non renseignée
Tournefeuille,0,Aucun événement recensé,Indisponible,Non renseignée
Tours,4,"Atelier projection de courts métrages ""Musique & Danse"", Atelier projection de courts métrages, Atelier histoire et métiers du cinéma, Tournée Déter : Sulka + Amande + Medra + Amari Natura (concerts)",Indisponible,Non renseignée
Trappes,6,"Archéo'Vacances : «Écrire en Égypte», L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, La danse fait ses jeux! Under Construction, version étendue - Une déambulation dansée, Breaking en Herbe, Les artistes dans notre ville",31.2,Imagine R - Île-de-France Mobilités
Tremblay-en-France,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Troyes,2,"Jeunes ESTivants 2024 - Charly Bechaimont ""Identités multiples"" & Passages, Jeunes ESTivants 2024 - Cie Désor!entée ""Laboratoire Paysan en Pays d'Othe"" & le Théatre de la Madeleine",Indisponible,Non renseignée
Valence,0,Aucun événement recensé,Indisponible,Non renseignée
Valenciennes,1,Mes vacances musicales avec Mathieu Vantorre,Indisponible,Non renseignée
Vallauris,0,Aucun événement recensé,Indisponible,Non renseignée
Vandœuvre-lès-Nancy,1,Jeunes ESTivants 2024 - Résidence ENSAD Nancy #4 & Médiathèque Jules Verne,Indisponible,Non renseignée
Vannes,0,Aucun événement recensé,25.5,Wikipedia-Vannes
Vanves,1,L'Abécédaire sportif et décalé,31.2,Imagine R - Île-de-France Mobilités
Vaulx-en-Velin,0,Aucun événement recensé,Indisponible,Non renseignée
Vernon,2,"Ateliers plastiques proposés par La Cabane au Quartier La Batoude, L’Été culturel Des livres à soi",Indisponible,Non renseignée
Versailles,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Vertou,0,Aucun événement recensé,Indisponible,Non renseignée
Vichy,1,Fir Hitzik - la via allier à bicyclette - Musik tour à vélo,Indisponible,Non renseignée
Vienne,1,Un oiseau sur un fil,Indisponible,Non renseignée
Vierzon,0,Aucun événement recensé,Indisponible,Non renseignée
Vigneux-sur-Seine,1,Rendez-vous du parc Vigneux sur seine,31.2,Imagine R - Île-de-France Mobilités
Villefranche-sur-Saône,0,Aucun événement recensé,Indisponible,Non renseignée
Villejuif,34,"Stage musique : Imagina'son, Stage Art : Vitrail, Stage Art : Voyage au cœur des cinq continents » Tour du monde en cinq jours., Stage Art : Modelage olympique !, Stage Art : Sculptez et modalisez votre réalité !",31.2,Imagine R - Île-de-France Mobilités
Villemomble,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Villenave-d'Ornon,0,Aucun événement recensé,Indisponible,Non renseignée
Villeneuve-Saint-Georges,5,"Restitution - Danser et rêver le sport au sein de l'espace public, L’Été culturel Des livres à soi, Danser et rêver le sport au sein de l'espace public, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Villeneuve-d'Ascq,1,Silence ! On tourne,Indisponible,Non renseignée
Villeneuve-la-Garenne,8,"Spectacle de cirque avec les COLOKOLO, Maya Kamaty en concert, Concert de Buona sera, Basket Show, Stage de gospel",31.2,Imagine R - Île-de-France Mobilités
Villeneuve-le-Roi,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Villeneuve-sur-Lot,0,Aucun événement recensé,Indisponible,Non renseignée
Villeparisis,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Villepinte,1,L’Été culturel Des livres à soi,31.2,Imagine R - Île-de-France Mobilités
Villeurbanne,18,"Notre société connaît des mutations. Il nous faut donc trouver un certain équilibre pour favoriser le faire ensemble., CINÉMA EN PLEIN AIR | Buzz l'éclair, Urban Arts Academy fait ESQAL, CINÉMA EN PLEIN AIR | Indiana Jones et le cadran de la destinée, ""Des Fleurs"" par la compagnie De l'âme à la vague",Indisponible,Non renseignée
Villiers-le-Bel,12,"La Roulotte des contes - Compagnie Piloucha, Olympiades circassiennes, À ciel ouvert  - Spectacle à voir en famille entièrement gratuit (récits, danse et manipulation d'objets), Atelier stop motion - Hors les murs, Minilab de la micro folie ""Hors les murs",31.2,Imagine R - Île-de-France Mobilités
Villiers-sur-Marne,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Vincennes,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Viry-Châtillon,1,Doubles Jeux #03 - Les cinq vies de Ladji de Thomas Zribi et Fabien Duflos - Rencontre avec Ladji Doucouré,31.2,Imagine R - Île-de-France Mobilités
Vitrolles,1,"Résidence et ateliers ""Le petit peuple""",Indisponible,Non renseignée
Vitry-sur-Seine,23,"Les MAC VALympiques -  Exposition ""Trophées / Trop Faits"", Les MAC VALympiques - Exposition et performance ""Tripple Dribble"" de Julia Borderie, SPORTS - Création théâtrale collective dans le cadre du temps fort T.A.S.T.E!, Terre, air, feu : Atelier « oriflamme », Les Yourtes dans ma Ville à Vitry-sur-Seine / Colonel Fabien",31.2,Imagine R - Île-de-France Mobilités
Voiron,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Vélizy-Villacoublay,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Vénissieux,2,BABEL RADIO LIVE,Indisponible,Non renseignée
Wasquehal,0,Aucun événement recensé,Indisponible,Non renseignée
Wattrelos,0,Aucun événement recensé,Indisponible,Non renseignée
Yerres,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Échirolles,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Élancourt,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Épernay,3,"Partir en Livre 2024 - Atelier Carapaces à plumes - Gaëlle Allart, La Fabrique du livre jeunesse #5_Atelier avec Nadège Viel, L’Été culturel Des livres à soi",Indisponible,Non renseignée
Épinal,2,"Jeunes ESTivants 2024 - Louise Laurent ""Habiter la forêt"" & Les Francas des Vosges, Jeunes ESTivants 2024 - Studio Echelle Un ""Les Communs"" & la FMS d'Epinal",Indisponible,Non renseignée
Épinay-sur-Seine,14,"Spectacle : « La Reine vs. Blanche-Neige », Initiation au karaté, Atelier peinture murale participatif/collectif #1, Portraits photographiques, Initiation à la musique électronique",31.2,Imagine R - Île-de-France Mobilités
Étampes,7,"Doubles Jeux #03 (Sport et Cinéma en Essonne) – When We Were Kings de Léon Gast – Avant Match (Cinéma et boxe), Atelier « Gestes en mouvement », Ateliers scientifiques, Atelier ""Les 5 Sens"", ""Vernailles s'enjaille""",31.2,Imagine R - Île-de-France Mobilités
Évreux,4,"Résidence ""Soudain l'été prochain"" : Paul Lepetit, Résidence ""Soudain l'été prochain"" : Charlotte Delval, Résidence ""Soudain l'été prochain"" : Loïc Leclercq, Résidence ""Soudain l'été prochain"" : Alexie Turgis",Indisponible,Non renseignée
Évry-Courcouronnes,3,"L'Estivale - Spectacle-nomade, Concert Jardinal, Olympic Box",31.2,Imagine R - Île-de-France Mobilités
